entry,kegg,comp,name,chebi,uncharged_formula,formula,charge,external
C05897_[cyt],C05897,cyt,"Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine",-,C87H143N7O23P2,-,-,False
C05898_[cyt],C05898,cyt,"Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine",28138,C95H156N8O28P2,C95H152N8O28P2,-4,False
C05925_[cyt],C05925,cyt,Dihydroneopterin phosphate,48954,C9H14N5O7P,C9H12N5O7P,-2,False
C05946_[cyt],C05946,cyt,D-4-Hydroxy-2-oxoglutarate,4083,C5H6O6,C5H4O6,-2,False
C05947_[cyt],C05947,cyt,L-erythro-4-Hydroxyglutamate,6331,C5H9NO5,C5H8NO5,-1,False
C06006_[cyt],C06006,cyt,(S)-2-Aceto-2-hydroxybutanoate,27681,C6H10O4,C6H9O4,-1,False
C06007_[cyt],C06007,cyt,"(R)-2,3-Dihydroxy-3-methylpentanoate",27512,C6H12O4,C6H11O4,-1,False
C06022_[cyt],C06022,cyt,UDP-3-O-(3-hydroxytetradecanoyl)-D-glucosamine,27392,C29H51N3O18P2,C29H49N3O18P2,-2,False
C06032_[cyt],C06032,cyt,D-erythro-3-Methylmalate,27394,C5H8O5,C5H6O5,-2,False
C06037_DGDG_[cyt],C06037,cyt,Digalactosyl-diacylglycerol_DGDG,28396,C17H26O15R2,C17H26O15R2,0,False
C06054_[cyt],C06054,cyt,2-Oxo-3-hydroxy-4-phosphobutanoate,27951,C4H7O8P,C4H4O8P,-3,False
C06055_[cyt],C06055,cyt,O-Phospho-4-hydroxy-L-threonine,18336,C4H10NO7P,C4H8NO7P,-2,False
C06098_[cyt],C06098,cyt,Zeaxanthin,27547,C40H56O2,C40H56O2,0,False
C06143_[cyt],C06143,cyt,Poly-beta-hydroxybutyrate,-,C4H6O2R,-,-,False
C06156_[cyt],C06156,cyt,alpha-D-Glucosamine 1-phosphate,27625,C6H14NO8P,C6H12NO8P,-2,False
C06232_[cyt],C06232,cyt,Molybdate,36264,MoH2O4,H2MoO4,0,False
C06232_[ext],C06232,ext,Molybdate,36264,MoH2O4,H2MoO4,0,True
C06319_[cyt],C06319,cyt,Precorrin 6Y,27858,C44H56N4O16,C44H50N4O16,-6,False
C06320_[cyt],C06320,cyt,Precorrin 6X,27513,C44H54N4O16,C44H47N4O16,-7,False
C06399_[cyt],C06399,cyt,Hydrogenobyrinate,17926,C45H60N4O14,C45H54N4O14,-6,False
C06406_[cyt],C06406,cyt,Precorrin 3B,27711,C43H50N4O17,C43H43N4O17,-7,False
C06407_[cyt],C06407,cyt,Precorrin 4,16430,C44H52N4O17,C44H44N4O17,-8,False
